count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
43,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.676190,-7.000000,-5.000000,3.638095,-7.000000,0.000000,-1.000000,0.000000
44,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.714286,-7.000000,-5.000000,3.676190,-7.000000,0.000000,-1.000000,0.000000
45,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.752381,-7.000000,-5.000000,3.714286,-7.000000,0.000000,-1.000000,0.000000
46,0.020000,0.000000,-7.905231,0.000000,-5.000000,3.790476,-7.000000,-5.000000,3.752381,-7.000000,0.000000,-1.000000,0.000000
47,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.828571,-7.000000,-5.000000,3.790476,-7.000000,0.000000,-1.000000,0.000000
48,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.866667,-7.000000,-5.000000,3.828571,-7.000000,0.000000,-1.000000,0.000000
49,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.904762,-7.000000,-5.000000,3.866667,-7.000000,0.000000,-1.000000,0.000000
50,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.942857,-7.000000,-5.000000,3.904762,-7.000000,0.000000,-1.000000,0.000000
51,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.980952,-7.000000,-5.000000,3.942857,-7.000000,0.000000,-1.000000,0.000000
52,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.019048,-7.000000,-5.000000,3.980952,-7.000000,0.000000,-1.000000,0.000000
53,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.057143,-7.000000,-5.000000,4.019048,-7.000000,0.000000,-1.000000,0.000000
54,0.020000,0.000000,-7.905260,0.000000,-5.000000,4.095238,-7.000000,-5.000000,4.057143,-7.000000,0.000000,-1.000000,0.000000
55,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.133333,-7.000000,-5.000000,4.095238,-7.000000,0.000000,-1.000000,0.000000
56,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.171429,-7.000000,-5.000000,4.133333,-7.000000,0.000000,-1.000000,0.000000
57,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.209524,-7.000000,-5.000000,4.171429,-7.000000,0.000000,-1.000000,0.000000
58,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.247619,-7.000000,-5.000000,4.209524,-7.000000,0.000000,-1.000000,0.000000
59,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.285714,-7.000000,-5.000000,4.247619,-7.000000,0.000000,-1.000000,0.000000
60,0.020000,0.000000,-7.905236,0.000000,-5.000000,4.323810,-7.000000,-5.000000,4.285714,-7.000000,0.000000,-1.000000,0.000000
61,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.361905,-7.000000,-5.000000,4.323810,-7.000000,0.000000,-1.000000,0.000000
62,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.400000,-7.000000,-5.000000,4.361905,-7.000000,0.000000,-1.000000,0.000000
63,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.438095,-7.000000,-5.000000,4.400000,-7.000000,0.000000,-1.000000,0.000000
64,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.476191,-7.000000,-5.000000,4.438095,-7.000000,0.000000,-1.000000,0.000000
65,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.514286,-7.000000,-5.000000,4.476191,-7.000000,0.000000,-1.000000,0.000000
