count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
4.36,0.020000,-9.328804,2.674796,0.345972,-0.334822,0.951018,-5.074611,-0.340309,0.930334,-5.104547,-0.978913,0.167239,-0.117307,Walking
4.38,0.020000,-9.416604,2.113490,0.455427,-0.329620,0.969450,-5.043810,-0.334822,0.951018,-5.074611,-0.986415,0.121499,-0.110562,Walking
4.4,0.020000,-9.451356,1.209016,0.341722,-0.324050,0.978058,-5.017382,-0.329620,0.969450,-5.043810,-0.991830,0.079369,-0.099867,Walking
4.42,0.020000,-9.511262,0.739506,0.487654,-0.319041,0.984743,-4.989955,-0.324050,0.978058,-5.017382,-0.995078,0.041309,-0.090080,Walking
4.44,0.020000,-9.556252,0.290552,0.849529,-0.314654,0.989352,-4.956592,-0.319041,0.984743,-4.989955,-0.996493,0.006126,-0.083452,Walking
4.46,0.020000,-9.648569,-0.249555,0.725262,-0.312158,0.988954,-4.925784,-0.314654,0.989352,-4.956592,-0.996267,-0.023407,-0.083090,Walking
4.48,0.020000,-9.664447,-0.582555,0.695250,-0.310245,0.986575,-4.894424,-0.312158,0.988954,-4.925784,-0.994913,-0.047259,-0.088966,Walking
4.5,0.020000,-9.609627,-1.124726,0.632287,-0.307746,0.977480,-4.861521,-0.310245,0.986575,-4.894424,-0.992308,-0.068296,-0.103247,Walking
4.52,0.020000,-9.550132,-1.415672,0.453328,-0.304842,0.966127,-4.827820,-0.307746,0.977480,-4.861521,-0.988313,-0.086445,-0.125558,Walking
4.54,0.020000,-9.452503,-1.746768,0.257358,-0.300972,0.950566,-4.792655,-0.304842,0.966127,-4.827820,-0.983281,-0.098746,-0.152998,Walking
4.56,0.020000,-9.626809,-1.902267,0.055186,-0.301870,0.934034,-4.755409,-0.300972,0.950566,-4.792655,-0.976751,-0.109652,-0.184210,Walking
4.58,0.020000,-9.242310,-2.217037,-0.251136,-0.296703,0.914048,-4.718048,-0.301870,0.934034,-4.755409,-0.968466,-0.124129,-0.216024,Walking
4.6,0.020000,-9.273363,-2.654191,-0.179994,-0.294329,0.890213,-4.673126,-0.296703,0.914048,-4.718048,-0.957399,-0.149078,-0.247310,Walking
4.62,0.020000,-9.148686,-2.994727,-0.278563,-0.292425,0.866779,-4.624058,-0.294329,0.890213,-4.673126,-0.942291,-0.185834,-0.278485,Walking
4.64,0.020000,-9.005113,-3.495767,-0.145624,-0.291652,0.841948,-4.565768,-0.292425,0.866779,-4.624058,-0.921894,-0.229789,-0.311942,Walking
4.66,0.020000,-8.389402,-3.754742,-0.347938,-0.285067,0.824420,-4.503627,-0.291652,0.841948,-4.565768,-0.888749,-0.293410,-0.352188,Walking
4.68,0.020000,-7.657920,-4.450057,-0.731901,-0.274086,0.809056,-4.439970,-0.285067,0.824420,-4.503627,-0.836594,-0.375316,-0.399059,Walking
4.7,0.020000,-5.962911,-4.862901,-1.272897,-0.245843,0.803548,-4.374214,-0.274086,0.809056,-4.439970,-0.751788,-0.467631,-0.464905,Walking
4.72,0.020000,-4.400046,-5.412820,-2.174687,-0.210228,0.803133,-4.310081,-0.245843,0.803548,-4.374214,-0.630053,-0.549653,-0.548557,Walking
4.74,0.020000,-2.346426,-5.304132,-3.198460,-0.161576,0.813395,-4.248262,-0.210228,0.803133,-4.310081,-0.487160,-0.592992,-0.641121,Walking
4.76,0.020000,-0.489653,-4.729435,-4.293247,-0.106288,0.836762,-4.191489,-0.161576,0.813395,-4.248262,-0.331705,-0.601200,-0.727002,Walking
4.78,0.020000,1.504675,-4.326537,-5.385371,-0.042133,0.866127,-4.144592,-0.106288,0.836762,-4.191489,-0.173607,-0.590700,-0.787994,Walking
